,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
420,000680,KR7000680009,LS네트웍스,KOSPI,,3170,1,10,0.32,3190,3235,3130,184530,588108735,249805560720,78803016,STK
421,000430,KR7000430009,대원강업,KOSPI,,4025,3,0,0.0,4025,4060,3990,58683,235407305,249550000000,62000000,STK
422,005500,KR7005500004,삼진제약,KOSPI,,17950,1,10,0.06,17940,18150,17800,9200,165122470,249505000000,13900000,STK
423,100840,KR7100840008,SNT에너지,KOSPI,,11990,1,20,0.17,12000,12140,11950,55342,665699300,249410242980,20680783,STK
424,004430,KR7004430005,송원산업,KOSPI,,10350,1,20,0.19,10330,10490,10290,17479,181036960,248400000000,24000000,STK
425,001230,KR7001230002,동국홀딩스,KOSPI,,7800,1,10,0.13,7790,7840,7700,34651,268759770,248043767400,31800483,STK
426,117580,KR7117580001,대성에너지,KOSPI,,8920,2,-30,-0.34,8960,9130,8920,136506,1232041670,246400000000,27500000,STK
427,004360,KR7004360004,세방,KOSPI,,12680,2,-280,-2.16,13000,13040,12680,38494,492962070,246185797500,19308690,STK
428,016580,KR7016580003,환인제약,KOSPI,,13090,2,-50,-0.38,13140,13230,13010,7578,99183800,242916914200,18600070,STK
429,084680,KR7084680008,이월드,KOSPI,,1708,2,-19,-1.1,1726,1728,1670,283693,483013213,242488590030,141806193,STK
430,016610,KR7016610008,DB금융투자,KOSPI,,5680,1,50,0.89,5720,6080,5640,1052213,6091647690,240671025630,42446389,STK
431,001510,KR7001510007,SK증권,KOSPI,,506,2,-10,-1.94,519,520,506,1948656,994034164,240075806868,472590171,STK
432,377190,KR7377190004,디앤디플랫폼리츠,KOSPI,,3705,2,-20,-0.54,3725,3730,3675,82305,304909390,238602000000,64400000,STK
433,005720,KR7005720008,넥센,KOSPI,,4455,2,-75,-1.66,4590,4590,4450,10440,46705090,238270697650,53543977,STK
434,007810,KR7007810005,코리아써키트,KOSPI,,10050,2,-170,-1.66,10220,10350,10050,39413,400753150,238097170080,23620751,STK
435,092230,KR7092230002,KPX홀딩스,KOSPI,,56100,3,0,0.0,56400,56400,55900,459,25722300,236580176000,4224646,STK
436,011760,KR7011760006,현대코퍼레이션,KOSPI,,17880,1,40,0.22,18010,18030,17840,12300,220661150,236401622420,13228966,STK
437,003580,KR7003580008,HLB글로벌,KOSPI,,4910,3,0,0.0,4850,5000,4700,68884,338350130,233648787720,47489591,STK
438,002810,KR7002810000,삼영무역,KOSPI,,12650,2,-40,-0.32,12830,12830,12640,22130,281052860,233606892200,18466948,STK
439,102460,KR7102460003,이연제약,KOSPI,,12550,2,-190,-1.49,12670,12980,12540,15886,202396380,233450346160,18586811,STK
440,037710,KR7037710001,광주신세계,KOSPI,,29200,1,50,0.17,29200,29350,29000,2565,74874450,233145667000,7957190,STK
